Reading+m
91.7418
90.3195
89.7355
90.1113
90.1487
89.4775
89.6827
89.6757
91.3169
93.0006
91.2597
90.8286
88.75
89.4628
89.6476
89.5751
87.2473
88.3774
88.5385
90.162
88.7881
89.0421
89.1023
89.8495
92.6416
92.2397
92.5219
91.4992
90.605
91.8293
89.5004
89.1844
90.4563
91.1511
91.4142
91.0498
91.6642
89.7289
90.9523
91.8473
93.425
94.6481
92.8566
93.4997
92.0622
90.1973
90.0767
89.4362
89.2112
90.9952
90.5722
88.7935
89.3706
88.3762
89.9975
89.3495
90.3395
91.0503
89.8839
90.4176
89.2309
88.5761
89.1343
87.6974
88.5454
91.4714
91.2143
92.0215
91.6504
90.7082
91.1504
90.8032
90.6197
89.2339
88.5737
89.7052
88.8168
87.4171
88.042
88.6993
87.2033
87.1413
86.7961
87.3241
86.5316
86.728
87.5375
87.3877
87.4159
87.2102
87.7673
88.1234
88.2203
89.451
89.9145
90.7609
90.2302
91.7312
92.0048
90.0572
